"","RDDam","RDDam","RDDam","RDDam","RDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","FemMRD","FemMRD","FemMRD","FemMRD","FemMRD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD"
"Metabolite","RD_Dam_1","RD_Dam_2","RD_Dam_3","RD_Dam_4","RD_Dam_5","HFD_Dam_A1","HFD_Dam_A2","HFD_Dam_A3","HFD_Dam_A4","HFD_Dam_B1","HFD_Dam_B2","HFD_Dam_B3","HFD_Dam_B4","Male_MRD_A1","Male_MRD_A2","Male_MRD_A3","Male_MRD_B1","Male_MRD_B2","Male_MRD_B3","Male_MRD_B4","Female_MRD_A2","Female_MRD_A3","Female_MRD_B2","Female_MRD_B3","Female_MRD_B4","MAle_MHFD_A1","MAle_MHFD_A2","MAle_MHFD_A3","Male__MHFD_B1","Male_MHFD_B2","Male_MHFD_B3","Male_MHFD_B4","Female__MHFD_A1","Female__MHFD_A2","Female_MHFD_A3","Female__MHFD_B1","Female__MHFD_B2","Female__MHFD_B3","Female__MHFD_B4"
"Glycine","2.35190751273458","1.35840657935007","1.99001405210457","2.29203899078824","1.61117432419825","-0.775688376408602","-0.132363903923631","-0.339876081001555","-0.592669535742515","-0.243228566854208","-1.5538436653701","-0.792159371400047","-0.0669615219384596","0.174853839708711","0.966117306176248","0.0722315542681033","-0.0669901302162149","0.521719594346914","0.332636055393863","0.233437737643915","0.31837142421091","0.3194024372509","0.412221550930036","0.325314718467419","-0.86581212537093","0.696777487960043","-0.342434257531098","-1.47411802418048","-0.885559230758746","-0.610229087188253","0.179585724249847","-0.55731473742525","0.766471370534006","-0.593523624229833","-1.15339982612811","0.028397173067255","-1.29075124466776","-1.7274269962732","-0.886729126774901"
"Citrulline","2.4938807439586","1.8481242217878","1.6438939907221","2.24334491881561","2.04266944446976","-0.588820980480325","0.0628423000237225","0.332840250045955","-0.39094962819971","-0.819846242430375","-0.703203904737812","-0.81145615814957","0.10014196978666","0.13851269642769","0.553365857570122","-0.778613538783392","-0.349396664614212","0.0216408336116782","-1.03408394763016","0.412057715798556","-0.354870549193217","-0.484070316538484","-0.373450716131248","0.0616432042987503","0.554309383628479","0.419422366547054","-0.538717555756159","-1.70496448853041","-1.39298197536519","-1.48967422311088","0.121999017786756","-0.208261820589871","-0.188680686156703","0.383990032553173","-1.16631446221824","0.568292654243445","0.583209313533305","-1.03827466539924","-0.169548391593974"
"Arginine","2.64092595893232","1.43129326271132","2.01021988565854","1.67231888845985","1.75314013207217","-0.248773685242962","-0.37030264641658","1.34640579285434","0.176301546060541","-1.25436731554441","-0.826653237108312","-0.797556282000026","-0.133893671452055","0.444271861372667","0.487192015564661","0.528981715822828","0.440138392249607","-0.354314740745422","-0.557271124759367","0.0165985544855345","-0.533848534604606","0.379946234459136","-0.4550977631451","-0.0597657535756175","0.72567111006033","0.452066022686885","-0.710675933476009","-1.67881572960645","-1.40301496117957","-1.67260167238227","-0.0397241532977045","-0.596915700844425","-0.548048630972232","0.0845389423305213","-0.465436882594347","-0.0341366372549883","0.244456487671683","-0.752446062861228","-1.34080568438916"
"Tryptophan","1.12295948840214","0.561101631774473","0.636428930154351","1.28757757180872","0.716228870745863","0.421554580023049","0.921188922727021","1.57974597451193","1.3317135956897","0.114043980523228","-0.145709511790861","1.50229856593913","1.35147478908261","-0.255162215080248","-0.226695477565744","-1.47442402254546","-1.85172661846616","-1.57953911925023","-1.54657692082787","-0.571083416215191","0.286692898277645","-0.0753925820503141","-0.775419419603779","0.57097508813206","0.393321964567784","0.025956948056832","-0.296474520304801","-1.76941970138693","-1.93015940274366","-1.7972273044994","0.208693539450585","-0.69171002417039","0.255868521951858","0.5378241233727","0.249005041849097","0.854341416685305","0.589793414064558","-0.259025430230825","-0.273044171058632"
"Histidine","2.08850731158199","0.984483073306219","1.3937654630067","1.31422895795212","1.09428166468762","0.814589675138012","0.584566481503761","2.54161968247826","0.876150686421114","0.10563064636202","0.322227500018846","-0.191593925323809","1.63885010175411","-0.616288068365085","-1.27738877997234","-0.860140071181409","0.103930530046584","0.0611567719570802","-0.609539359664864","-0.260253730250358","-0.164638998371179","-0.259412624439233","-1.17629499566195","0.361651540375439","0.282021934596179","-0.385552446350996","-0.995902665110222","-1.50775413399659","-0.616157660132712","-1.32253417813378","-0.433110858616231","-0.905595492315138","-0.979286916267329","0.324566063312477","-1.0141051374792","0.900928321096996","-0.197025588580474","-0.621065620776666","-1.39951515460598"
"Lysine","1.59518567419345","0.982522884263093","1.21694490646838","1.65584812755974","1.37263304675307","0.717530345199819","1.05673104302661","1.54243912829716","-0.16048886525773","0.2655603037596","0.107617964344922","0.447924134370226","1.14571680080582","-0.245990346942941","-0.48308645772778","-1.02275364169663","-0.336937240864882","-0.120611658156696","-0.749415454258538","0.0544521448733273","-0.306429148824442","0.361723898659595","-0.11552121735207","0.789415818154386","-0.0633437414445969","-0.593075879189346","-0.335272818450887","-1.76928911764072","-1.22934799506265","-2.30682226847359","-0.526397709283948","-1.17899624250498","-0.43773731942963","0.200007050399823","-0.607537703989379","1.86748839325058","-0.356057807907214","-0.678631221417828","-1.75599780850321"
"Glutamine","1.64261427896412","0.935600081669132","0.924109695511059","1.08514627620547","1.34290276568027","0.474980683813381","1.23613104761744","1.51340183386981","-0.300259195922807","0.209034948802241","0.149073474428199","0.531709556385393","1.12879482746051","-0.176548130615357","-0.72280917931773","-1.14282200545371","-0.192602751860403","0.0802342049813495","-0.727716904113859","-0.00837310372689207","-0.360299748981663","0.358384551507456","-0.157699894896148","1.08822078246753","0.0531404678949771","-0.690254185530421","-0.328018402460602","-1.7202203588548","-1.47413438212187","-2.37028064811823","-0.448465957342422","-1.25421695935806","-0.262923326060229","0.0184407715612129","-0.663364696166194","2.30811376946613","-0.359338093003412","-0.424994651522764","-1.29469144285785"
"Glutamic acid","1.510173513796","1.12993269215023","1.23354619294203","1.69219117623016","0.836676206954362","0.336660035822678","1.5742960781311","1.5946756607691","0.509306838474861","0.651351620749023","0.984877787775221","0.0916476617275013","0.0163941426381443","0.528008588637565","0.555871657293027","-0.45095838258282","-0.0741215681896042","0.2011030018501","-0.311406500822378","-0.321209736748906","-0.323083067627365","-0.189639617362691","-0.888087111803058","0.775756552749645","-1.07072608567903","0.871104297609624","0.505021520679833","-1.02283489093528","-1.27953783868786","-1.43136588511638","-0.797471010589255","-1.65703745756179","-0.252050422864203","-0.967927483500747","-1.07879087153248","0.69208461601727","-0.662430282529886","-1.27175772424663","-2.24024390461718"
"Alanine","2.39755767660137","1.18223224657353","1.80336457745951","1.69591859885226","2.06278602557813","0.0831925427736948","-1.04848552946782","0.0104689922923436","-0.15929295688888","-0.707818037726945","-1.0349526024839","-0.776229294745383","0.943883989197327","-0.420883280416393","1.4960509161311","-0.608395907645121","-0.177175465322926","0.727199631000677","-0.360466014543397","0.333352551120271","-0.586083498520908","-0.694603852787783","-0.458097367573461","0.424994469236812","-0.480577918877856","0.853467546742075","0.672320906247598","-1.5742324577045","-0.618978768090056","-1.04444627628108","-0.162527399445908","-1.05931093171913","0.0795501184357998","-0.569563664833695","-1.13091079563233","1.00719379811401","0.0177430983493407","-1.27142821760462","-0.846817446393788"
"Tyrosine","1.46699148905965","0.0762854544276494","1.25014686004387","0.89628132161962","0.916600249321869","0.664097179989073","0.967477380544905","2.26672706050483","1.58402824167608","0.0283099164727474","-0.143050530910325","0.675001574744462","1.34888612518064","-0.0617429520498671","-0.411052649432158","-0.299556398383136","-1.8303576441336","-0.427274497224165","-0.232810651757955","0.238681319993186","-1.17471583458427","-1.47370821976779","-1.26908604832033","-0.407869562200796","-0.744940313111185","1.16309236729979","-0.207222955926282","-0.165135280701179","-1.58204736878337","-0.169048629976986","1.28551703504778","0.299162238092697","-0.816237263859429","-0.654138669305208","-1.77436641849385","-0.75097770348212","-0.218608943584352","-0.836812421844674","0.52347514381416"
