"ID","pval","fdr","RD_Dam_1","RD_Dam_2","RD_Dam_3","RD_Dam_4","RD_Dam_5","HFD_Dam_A1","HFD_Dam_A2","HFD_Dam_A3","HFD_Dam_A4","HFD_Dam_B1","HFD_Dam_B2","HFD_Dam_B3","HFD_Dam_B4","Male_MRD_A1","Male_MRD_A2","Male_MRD_A3","Male_MRD_B1","Male_MRD_B2","Male_MRD_B3","Male_MRD_B4","Female_MRD_A2","Female_MRD_A3","Female_MRD_B2","Female_MRD_B3","Female_MRD_B4","MAle_MHFD_A1","MAle_MHFD_A2","MAle_MHFD_A3","Male__MHFD_B1","Male_MHFD_B2","Male_MHFD_B3","Male_MHFD_B4","Female__MHFD_A1","Female__MHFD_A2","Female_MHFD_A3","Female__MHFD_B1","Female__MHFD_B2","Female__MHFD_B3","Female__MHFD_B4"
NA,NA,NA,"RDDam","RDDam","RDDam","RDDam","RDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","FemMRD","FemMRD","FemMRD","FemMRD","FemMRD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD"
"Glycine","1.07950074880378e-07","2.4828517222487e-06","0.807302317986294","0.78422976479876","0.798897890936425","0.805911962315303","0.790099912516926","0.73466864440177","0.749608880097057","0.744789724340071","0.738918979548617","0.747034216353794","0.716597167376015","0.734286130510518","0.751127751278993","0.756743546499397","0.775119441077806","0.754360299479197","0.751127086895108","0.764798977857232","0.760407799285794","0.758104068725016","0.760076524849496","0.760100468564497","0.762256051780595","0.760237772333667","0.732575656945473","0.768864432076311","0.744730314567963","0.718448674541178","0.732117060356331","0.738511185583793","0.756853437345076","0.739740041147252","0.770482966854185","0.738899144638162","0.725896868532868","0.753342312421798","0.722707090040317","0.712565957640672","0.732089891294733"
"Citrulline","2.51371235585558e-07","2.89076920923392e-06","1.07781129467108","1.0658990400906","1.06213161007331","1.07318966650603","1.06948781099796","1.02094477226452","1.03296598866977","1.03794663417074","1.02459490020226","1.01668305497575","1.01883475329199","1.0168378266528","1.03365405475463","1.03436187859921","1.04201466459421","1.01744367363932","1.02536142669299","1.0322059462387","1.01273101733082","1.03940795680066","1.02526045007965","1.02287710516943","1.02491770220005","1.03294386898061","1.04203206979606","1.03954381233073","1.02186902890023","1.00035530059871","1.00611043429677","1.00432675479597","1.03405725117808","1.02796493766728","1.02832615036949","1.03889019294258","1.01029176430123","1.04229001884297","1.04256518608767","1.01265371126386","1.02867908333372"
"Arginine","1.21202105159229e-06","9.29216139554086e-06","1.18239859585372","1.1582507204401","1.1698078220365","1.16306231060317","1.16467574361273","1.12471157465436","1.12228549422289","1.15655611343031","1.13319734373038","1.10463692738572","1.11317537571883","1.11375623770203","1.12700492227071","1.13854683023891","1.13940364449285","1.14023789151557","1.13846431387032","1.12260466049169","1.11855304590581","1.13000919582748","1.11902063064512","1.13726269892412","1.12059273085692","1.1284847365409","1.14416439829905","1.13870242493882","1.11549062851224","1.09616367145084","1.10166947715182","1.09628772256167","1.12888482664107","1.11776162195776","1.11873715438078","1.1313654885487","1.12038633120426","1.12899637012174","1.13455791958451","1.1146567721825","1.10291135980777"
"Tryptophan","1.64540851819939e-06","9.46109897964652e-06","1.26701788681162","1.25567840049707","1.2571986655588","1.2703402297884","1.25880919805125","1.25286204425161","1.26294572773942","1.27623680943914","1.27123098860377","1.24665582644496","1.24141344861486","1.27467375604538","1.27162981150781","1.23920446031578","1.23977897961218","1.21459716433065","1.2069823956264","1.21247571815618","1.21314096541312","1.23282849868333","1.25014024873613","1.24283259378311","1.22870456362278","1.25587766784187","1.25229225003622","1.24487804281631","1.23837069014742","1.20864352423536","1.20539945525556","1.20808230767281","1.24856605581254","1.23039399722724","1.24951814727509","1.25520861087885","1.24937962765171","1.261596602919","1.25625746167559","1.23912649241907","1.23884356441888"
"Histidine","3.05791454844704e-06","1.40664069228564e-05","1.14485605774408","1.12309409226077","1.13116165901229","1.1295938757901","1.12525838637037","1.1197452398184","1.11521113936419","1.15378757884085","1.12095869923008","1.10577059924584","1.1100400465004","1.09991185933273","1.13599264302877","1.09154050392095","1.07850922220791","1.08673381699837","1.10573708741585","1.10489395280443","1.09167353104182","1.09855847210345","1.10044318117297","1.09857505155433","1.0805019315783","1.11081715317587","1.10924753479945","1.09608864740182","1.08405773364751","1.07396837726174","1.09154307446184","1.07761933903102","1.09515120011555","1.08583782280599","1.08438525485607","1.1100861430732","1.08369893575008","1.12144710338996","1.09980479314323","1.09144633123246","1.0761019290913"
"Lysine","4.28572397467092e-06","1.64286085695719e-05","1.25908484772584","1.2480946393503","1.25229980231139","1.26017303687984","1.2550926030681","1.24334108932223","1.24942581718806","1.25813865752134","1.22759080345658","1.23523345651579","1.23240021896649","1.23850477726761","1.25102208194662","1.22605704113972","1.22180390922868","1.21212312739773","1.22442559667836","1.22830613793205","1.21702638525232","1.23144650765245","1.22497286394214","1.2369584804008","1.22839745244647","1.24463060182394","1.22933343442898","1.21983087172611","1.2244554538028","1.19873145325789","1.20841714911732","1.18908895263028","1.22102697338823","1.2093203804899","1.22261740155716","1.23405753409001","1.21957144929887","1.26396953090368","1.22408260373101","1.21829614323568","1.19896987847222"
"Glutamine","3.09804489033765e-05","0.000101792903539666","1.22190360381466","1.21069546310485","1.210513308538","1.21306618606543","1.21715234305344","1.20339336500755","1.2154597144691","1.21985522731583","1.19110365754597","1.19917738570956","1.1982268296323","1.20429267535878","1.2137581369571","1.19306482187991","1.18440506551071","1.17774669447196","1.19281031149717","1.19713553582056","1.18432726442794","1.19573086362625","1.19015184785169","1.20154499214304","1.19336361881904","1.21311492553761","1.19670602476013","1.18492115267356","1.19066359694456","1.1685933252535","1.1724944721675","1.15828806233262","1.18875416832427","1.17598077474573","1.19169553488669","1.19615593809909","1.18534742583973","1.23245362100016","1.1901670927726","1.18912625377782","1.17533914165271"
"Glutamic acid","4.24277418776101e-05","0.000121979757898129","0.952299003011462","0.944195802822282","0.946403879628932","0.956177927820972","0.937946300214876","0.927290602820339","0.953665500099286","0.95409980338417","0.930969827996261","0.933996902526592","0.941104580466182","0.922069216259248","0.920465510672136","0.931368375487297","0.931962157139206","0.910505898617878","0.9185365570108","0.924401786783763","0.913479847679389","0.913270933805096","0.913231011802343","0.916074785878859","0.901190376980874","0.936648059401751","0.89729821158617","0.938679987117569","0.930878504850532","0.898318806735917","0.892848285801872","0.889612723009804","0.903121470032168","0.884803502577823","0.914744767579514","0.899488922328413","0.897126345309502","0.93486495139503","0.905999283225453","0.893014085529895","0.872374961708235"
"Alanine","5.65347160523953e-05","0.000144477607689455","0.968556057526809","0.938319769072406","0.953773026167992","0.951099859358375","0.960227216578863","0.910976573014892","0.882821361427627","0.909167271411014","0.904943734951395","0.891296886001386","0.883158049423952","0.889594870681349","0.932389862164701","0.898435584719669","0.946127317224263","0.893770426116347","0.904498832977043","0.926998935096022","0.899938716171893","0.917200346487607","0.894325540344786","0.891625643960068","0.897509729104336","0.919480321383403","0.896950431637946","0.930140376086692","0.925633597952039","0.869741214017385","0.893507133328111","0.882921854695913","0.904863264703898","0.882552034400464","0.910885952519152","0.894736540101924","0.880770689186182","0.933964957688173","0.90934824513505","0.877274732302003","0.88783869602889"
