"ID","pval","fdr","RD_Dam_1","RD_Dam_2","RD_Dam_3","RD_Dam_4","RD_Dam_5","HFD_Dam_A1","HFD_Dam_A2","HFD_Dam_A3","HFD_Dam_A4","HFD_Dam_B1","HFD_Dam_B2","HFD_Dam_B3","HFD_Dam_B4","Male_MRD_A1","Male_MRD_A2","Male_MRD_A3","Male_MRD_B1","Male_MRD_B2","Male_MRD_B3","Male_MRD_B4","Female_MRD_A2","Female_MRD_A3","Female_MRD_B2","Female_MRD_B3","Female_MRD_B4","MAle_MHFD_A1","MAle_MHFD_A2","MAle_MHFD_A3","Male__MHFD_B1","Male_MHFD_B2","Male_MHFD_B3","Male_MHFD_B4","Female__MHFD_A1","Female__MHFD_A2","Female_MHFD_A3","Female__MHFD_B1","Female__MHFD_B2","Female__MHFD_B3","Female__MHFD_B4"
NA,NA,NA,"RDDam","RDDam","RDDam","RDDam","RDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","FemMRD","FemMRD","FemMRD","FemMRD","FemMRD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD"
"Arginine","3.07101649302863e-07","2.25556076175462e-06","3.78429074754196","3.3051267633431","3.54515870651582","3.36552162972092","3.43179178434718","2.6136577032593","2.53463854448421","3.19938213730098","2.77097993324548","2.17622269489268","2.35937986681958","2.33979526360348","2.6196458062177","2.8919853076452","2.9249882303037","2.93021239266056","2.89894455828976","2.53894442052189","2.48706908233985","2.69473784754695","2.45234343968535","2.80638965609793","2.49604092934571","2.62593423098728","2.93469687384358","2.84869266621361","2.36567148637442","1.9907513030191","2.10366027671719","2.00703405663661","2.6473062072816","2.42127263212618","2.44266928508559","2.69735290763087","2.45433579241933","2.60699876839358","2.74879957138096","2.35809490240892","2.11888500302019"
"Citrulline","1.60036334071162e-07","2.25556076175462e-06","1.61437954661777","1.37632663204536","1.29715118985454","1.51059680674799","1.4481045821532","0.438952563335833","0.683293354378846","0.775477756035489","0.511661666906716","0.346971607112837","0.392650233598875","0.346328850597221","0.69415973667761","0.717259628969196","0.881558010088659","0.364478302683168","0.530977028282893","0.666933109903468","0.267078077566844","0.816820010379554","0.520475305000125","0.467731377950295","0.51574920075701","0.673297354894894","0.855629998023386","0.812157164738551","0.447957888622026","0.00735532576058291","0.126432025261681","0.090187450686217","0.69953907528433","0.574981365806831","0.582727603950996","0.798539830901595","0.209819879374856","0.854675421757357","0.869537561481435","0.260243258726843","0.590485634333196"
"Glycine","4.90339296033614e-07","2.25556076175462e-06","-3.99796967572093","-4.50644380710046","-4.19850442868396","-4.00587656633667","-4.37425318359094","-5.56071353759707","-5.18991224376773","-5.21547948087964","-5.43141663610391","-5.26114339513119","-5.90813092729513","-5.46533593114906","-5.13332185075717","-5.07766282563474","-4.71847770167342","-5.132539335958","-5.21050339242514","-4.87063314294565","-5.02629308435904","-5.01384626699257","-4.94346868372932","-4.90483990771253","-4.92084905319844","-4.90019171052578","-5.44385016558531","-4.74709939307679","-5.22885903334012","-5.82859056406206","-5.54281102574264","-5.45050752059013","-4.99425278654535","-5.35115180253258","-4.72164092354239","-5.36123421132845","-5.58818530014484","-4.9849176928337","-5.66464340707511","-5.91152826967334","-5.51611321192767"
"Lysine","2.92795413639608e-07","2.25556076175462e-06","5.37532861746097","5.18155133877589","5.26738303388735","5.36983671978147","5.31605129117021","5.09984990879377","5.16990420042795","5.27532391884706","4.73470064572732","4.89234918740154","4.84487366789247","4.90568569663239","5.17766502654013","4.71864740996595","4.653922975181","4.43222448621694","4.69866454428807","4.72785123133846","4.55289536164138","4.79725806996947","4.63542096866186","4.84470896706714","4.72739430821147","4.99969014663489","4.66844880585877","4.51492172807897","4.59767059771645","4.11407856579482","4.31239433768327","3.94139520144613","4.5399143861741","4.30379354666346","4.57970120595427","4.80594848087939","4.47643899117787","5.334787647977","4.57764334490061","4.48959980977176","4.09667399532019"
"Tryptophan","4.37838425379728e-07","2.25556076175462e-06","5.53991829684804","5.33994108805021","5.3696589331087","5.57968231512914","5.3935039860791","5.29938645752652","5.45013438324095","5.64517791365595","5.64257218384729","5.12990987740256","5.03277348649106","5.64962736473916","5.60272691670507","4.99308272562822","5.03107860480509","4.48391845852631","4.33346667232153","4.4000288157528","4.47138495016145","4.82590299398573","5.15397872338924","4.96480751652057","4.73375092739142","5.22955445931337","5.13581221308462","5.02934454819583","4.88270565441925","4.31927526758778","4.24995472569641","4.33729521243385","5.1055696750449","4.73708387179434","5.13310528283137","5.24024761915532","5.08414319070262","5.28683110216338","5.23492339203864","4.91800834848916","4.91764998208522"
"Histidine","1.01124540829281e-06","3.8764407317891e-06","3.00538190264335","2.57086715061429","2.73832437064371","2.67475047077174","2.61034619814646","2.50957514847689","2.38800682323081","3.142804339616","2.5163724660794","2.19980062758041","2.29401730374574","2.05503715635253","2.80502952655187","1.91078923954683","1.64729230547642","1.81226701774227","2.21375418406112","2.17218428036303","1.92317627084996","2.04284968677136","2.0695670580432","2.01540554862851","1.66623738166458","2.26484922442488","2.2239082785612","1.97348406331546","1.72181055953033","1.53127102152399","1.89413317299123","1.61790779493325","1.95441441216103","1.76489392474566","1.73597953585791","2.26042000367761","1.70638387052662","2.45442913365537","2.03884968986586","1.88073607357475","1.56689442791986"
"Glutamine","3.61814530517654e-06","1.18881917170086e-05","4.60391567616835","4.40045525281779","4.39498651858633","4.39757571883329","4.52538795631673","4.26264071091359","4.46588126046689","4.49296339602638","3.97563784231026","4.14246058174786","4.13245715269228","4.20199405192554","4.40904649215887","4.02997764248423","3.86921481277962","3.71394322367107","4.03675421972156","4.08235842545415","3.86691574972485","4.05696968425697","3.91795635845319","4.12066632538861","4.00226036336622","4.35558178480894","4.00426570457616","3.79794031489577","3.90548948076372","3.49016813589864","3.56911217818307","3.29937735994454","3.87702799839041","3.61830472940526","3.94357433945348","4.02770770181772","3.77870823639774","4.69785547518991","3.88480458614531","3.88967565069187","3.61013087752728"
"Phenyl alanine","3.34392157418687e-05","9.61377452578726e-05","5.53002448751979","5.25853633707465","5.14064213506886","5.36682822947733","5.25005213099349","5.13839802503718","5.0988862426176","5.50305090597656","4.89055650403112","4.91754080757562","4.85301836505902","5.07231000614947","5.16607887023238","4.75407597426426","4.64390611366128","4.61447064286299","4.61385076944982","4.89274411255593","4.56268858422954","4.93509925575328","4.83957526174623","4.90660775366668","4.99563694813466","5.32738985177963","5.17151398594558","4.95231634628476","4.82550790806643","4.42694593416963","4.50820886241533","4.47676433322903","4.96713668022338","4.74543807114714","4.74477200637328","4.90814833677279","4.85762714419332","5.34263451150551","4.8955290927529","4.62400686555432","5.00078052560255"
"Glutamic acid","7.31260152214629e-05","0.00018687759445485","-0.989670127159433","-1.16549198061169","-1.11895170958685","-0.904464871325361","-1.29317999384142","-1.52381586524469","-0.960385449918447","-0.938016829452417","-1.43607384392018","-1.37272225249277","-1.22779947681554","-1.60291938595173","-1.64050485360956","-1.43259610767206","-1.42758024947674","-1.86994201143415","-1.70555140275536","-1.56551684803041","-1.81506594108843","-1.79765820156249","-1.78781911859572","-1.71588388281351","-2.04517188985118","-1.29476880986141","-2.09065914298063","-1.25940026691935","-1.41586163550351","-2.10497337434229","-2.21709416685746","-2.30092703871786","-1.98989392638434","-2.36853163100241","-1.75387677692288","-2.06381333942258","-2.09730199664847","-1.31637030818897","-1.92028184425882","-2.20033177926865","-2.62772525940205"
