"","RDDam","RDDam","RDDam","RDDam","RDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","FemMRD","FemMRD","FemMRD","FemMRD","FemMRD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD"
"Metabolite","RD_Dam_1","RD_Dam_2","RD_Dam_3","RD_Dam_4","RD_Dam_5","HFD_Dam_A1","HFD_Dam_A2","HFD_Dam_A3","HFD_Dam_A4","HFD_Dam_B1","HFD_Dam_B2","HFD_Dam_B3","HFD_Dam_B4","Male_MRD_A1","Male_MRD_A2","Male_MRD_A3","Male_MRD_B1","Male_MRD_B2","Male_MRD_B3","Male_MRD_B4","Female_MRD_A2","Female_MRD_A3","Female_MRD_B2","Female_MRD_B3","Female_MRD_B4","MAle_MHFD_A1","MAle_MHFD_A2","MAle_MHFD_A3","Male__MHFD_B1","Male_MHFD_B2","Male_MHFD_B3","Male_MHFD_B4","Female__MHFD_A1","Female__MHFD_A2","Female_MHFD_A3","Female__MHFD_B1","Female__MHFD_B2","Female__MHFD_B3","Female__MHFD_B4"
"Glutamic acid","1.51137207095694","1.10908284266947","1.21556931944841","1.70632597425448","0.816926257494487","0.289219804056239","1.57837688279692","1.62955740949736","0.489977954160741","0.634929576076365","0.966520163046842","0.108226977082668","0.0222295400064057","0.49793518930514","0.509411724690103","-0.502734196579321","-0.12660023026861","0.193805861737335","-0.377174992433954","-0.337345210398234","-0.314832894573779","-0.150241463410413","-0.903668956264562","0.813290966670151","-1.00774607522937","0.89421596869032","0.53622450182403","-1.04049775526768","-1.29703575785536","-1.48884957771707","-0.777190200479994","-1.64353227912669","-0.237171112663692","-0.946321528825882","-1.02294525794295","0.76386565393787","-0.617914261523045","-1.25868257345335","-2.23658031438833"
"Alanine","2.39510138335692","1.15667805325233","1.78600725246403","1.69997494578464","2.05138244975522","0.0318689324041079","-1.06482428723209","0.0502954903316664","-0.185866030498707","-0.737615145787725","-1.07851619412989","-0.75724292381955","0.949570404504172","-0.463445533677971","1.46412469924022","-0.657432141953188","-0.228601497322748","0.72132842031647","-0.422765005069146","0.323064858543811","-0.575105310374139","-0.649901175982502","-0.46603392353864","0.460522458236555","-0.420037694800016","0.871196651817331","0.698808131199901","-1.58640197662539","-0.625955415057785","-1.08742699294472","-0.140304996586586","-1.03762647427035","0.0950886075824209","-0.544021324034466","-1.06864143190185","1.06641372305465","0.0588468243313267","-1.25034048104033","-0.832167329527972"
"Tyrosine","1.46880900679758","0.0500262462203126","1.24232348580938","0.901499493908278","0.906672171350019","0.640456932470094","0.966483493840641","2.27864201495842","1.58440422937139","0.0117486053026585","-0.167786706282705","0.685706391465838","1.35634284315426","-0.0886713197723068","-0.458368567273371","-0.332810277356233","-1.89648381705448","-0.436225911400962","-0.276083595354993","0.232131307952702","-1.17019245903465","-1.43912390125319","-1.28180268931098","-0.378694714982901","-0.700872211861277","1.17568949700387","-0.185346799772198","-0.171471134157088","-1.59533435128293","-0.193750475034817","1.29780897934265","0.310722162116624","-0.805952706585284","-0.637919247004655","-1.72591000525353","-0.683800494424955","-0.189431628965347","-0.825639965151994","0.532206117506125"
"Homoserine/Threonine","1.41679434536361","0.549981884973665","1.55277695516792","1.2123511113039","0.836474879108766","0.915922281470625","0.179877849409692","1.82831733232594","1.38504651677145","-0.461873973612195","0.336201284324926","0.529662094572979","2.04541222070794","-0.477583424127026","-0.294581362388138","-0.646542156773506","-1.29560957626576","-0.333949093845459","-1.03427849635277","0.180806637196066","-0.295648659996572","-0.622981311809509","-0.690428265794763","-1.00974317779662","0.19165316034552","1.06202581288153","-0.0173000772865772","-1.91741868935373","-1.81858402780451","-1.99572410126264","0.267627154759089","-0.520025844710356","-0.293654305646078","-0.421261710436192","-0.809728582291234","-0.308569114407307","0.60387969670689","-0.515484343544596","0.686159078115029"
"Ornithine","2.08319671949062","0.747098406274021","1.73303125949473","2.04289674691321","1.11154208534613","0.497007385807113","1.22483710527569","2.09908860601178","-0.347898712420179","-1.00288005313311","0.360313183165453","0.262699865815567","-0.261092491307651","-0.328663964198157","-1.14576863319782","-1.20159944405817","-0.216783833713305","-0.0887714790315023","-0.409593090669156","0.661493659836781","-0.474846318806891","-0.669983240615291","-0.104598845628736","-0.654796978825979","0.403001329515593","0.0634113024855433","-0.967012836388249","-1.42512469322934","-1.32950205037377","-1.48201514865677","0.166256911112826","-0.485255815900991","-1.14986965627545","0.257495311244198","-1.07225023940955","-0.165875811075765","1.37451671070512","-0.636507546607957","0.532804295029423"
"Serine","1.06073497979682","0.456138742640093","2.44228091560552","2.35155568283762","1.56605136751444","0.464489614767236","0.217358495047568","0.835100701134784","0.274477496600768","-0.891194313839688","-0.719553124481357","0.145526415343008","1.4137917375375","-0.873530018005072","-0.499094317513385","-1.47751920758063","-0.662029937418613","-0.0902827014896302","-0.750689792571958","1.08923374819398","-0.417019017873121","-0.441134921719899","-0.608038042096725","-0.59098193687019","-0.199113215838069","1.19669975972811","-0.68181020423687","-1.56121231892099","-1.41013886749275","-1.33587558851828","0.15885590418619","-0.693224668906263","-0.149676090628614","0.648159278512664","-0.912381832377434","0.697403531328089","0.967686323122159","-0.487242629907729","-0.533801945609287"
"Asparagine","1.02083767926492","0.410906296893222","2.04978521092992","2.45738010407379","1.7357876886579","0.275777780352531","-0.1639210757701","0.991534998375668","0.646589128593002","-1.18125110806038","-0.8194817012243","-0.904744401632866","1.21712202944174","0.262164526794988","0.0949615782340772","-1.01180951638111","-0.651689233886171","-0.0238034306885383","-0.148214676896423","1.03700336045697","-0.536167628325585","-0.866019428571049","-1.01306154242902","-0.846790447568866","-0.247123147599505","1.35026520911987","-0.790206637825604","-1.15312472202131","-2.275263394865","-0.267695054609925","0.346728721762254","-0.0713189814431108","-0.454517984568158","0.905592018272457","-1.0291602279091","0.0647273138721474","0.411819698337584","-0.885525140236158","0.0619061390792439"
"Methionine","2.49839240629685","0.784338086315295","1.5427880699509","1.51376019997407","0.985434339635685","0.260815532404399","-1.21772957529296","0.674435559499616","0.581774314839239","-1.97546557448636","-1.29296835343377","-0.882862269442737","0.779756315681567","-0.35260649393026","-0.436861767527063","-0.761870618232026","-1.48424691217345","0.125688189334428","-0.591618926420242","0.644056852981929","0.0140113507467702","-0.55340895458868","-0.0945819309330404","-0.433243765638519","0.784276950201055","1.41965734125339","0.280701680544439","-1.41484141117421","-1.37685130142005","-1.40531945357745","0.9138600171778","0.421599941179998","-0.0414964783932593","0.412689978147334","-0.732979127005483","-0.439807889600943","0.752650050044312","-0.560561944271753","0.658635571333182"
"Aspartic acid","0.180581551081714","1.12693734730392","1.56015609174375","2.47074347597784","-0.0564471600744614","0.367865686706985","1.12494902032831","2.14701513690681","0.98527673940178","-0.405847053454221","0.479632146175996","-0.0678736891887877","0.071051630664034","0.00222678432455892","-0.593046617158475","-0.428123437202802","0.243224572926109","0.453293649640483","-0.666198288830564","-0.321929144569417","-0.026923603974301","0.183300892614591","-1.09713435176585","0.400598880277415","-1.24366477611637","1.42024841433733","0.757025779245686","-1.38669611570176","-1.4985014356229","-1.25532643481209","-1.32947715646626","-1.17930644801437","0.017945250801691","-0.43263665778351","-0.54379881990736","0.0298160228784243","0.776807756426212","-0.317273194581009","-1.9484924445391"
