"ID","pval","fdr"
"Arginine",3.07101649302842e-07,2.2555607617546e-06
"Citrulline",1.60036334071163e-07,2.2555607617546e-06
"Glycine",4.90339296033609e-07,2.2555607617546e-06
"Lysine",2.92795413639608e-07,2.2555607617546e-06
"Tryptophan",4.37838425379733e-07,2.2555607617546e-06
"Histidine",1.01124540829286e-06,3.8764407317893e-06
"Glutamine",3.61814530517675e-06,1.18881917170093e-05
"Phenyl alanine",3.34392157418681e-05,9.61377452578708e-05
"Glutamic acid",7.31260152214637e-05,0.000186877594454852
"Alanine",8.61787177447954e-05,0.000189969284131006
"Tyrosine",9.08548750191767e-05,0.000189969284131006
"Homoserine/Threonine",0.000250824669390012,0.000480747282997523
"Ornithine",0.000274903704500808,0.000486368092578352
"Serine",0.000502924426886314,0.000826232987027516
"Asparagine",0.00278937722555739,0.004277045079188
"Methionine",0.0112157853403709,0.0161226914267831
"Aspartic acid",0.0138147390055221,0.0186905292427652
"Glutaric acid",0.0206980140975484,0.0264474624579785
"Valine",0.0249526509622904,0.030205840638562
"Isoleucine/Leucine",0.0395395627372583,0.045470497147847
"Proline",0.042037196586604,0.0460407391186615
"Betaine",0.144818249797223,0.151400897515279
"Cystine",0.154843162483522,0.154843162483522
