ID,pval,fdr,linear_fc,log2_fc,direction
Arginine,0.0928744857329846,0.545035849714962,0.960385183449572,-0.0583149486375616,NS
Citrulline,0.126458119684115,0.545035849714962,0.973931523715505,-0.0381077536566562,NS
Glutamic acid,0.123622405887967,0.545035849714962,0.927396101275883,-0.108742433175757,NS
Glutaric acid,0.142183265143034,0.545035849714962,0.922379251350035,-0.116568034533287,NS
Glycine,0.0245560690784828,0.545035849714962,0.889239067658027,-0.16935676204387,NS
Ornithine,0.140763179460635,0.545035849714962,0.977650490485264,-0.032609300226109,NS
Alanine,0.19070101406937,0.548265415449437,0.956921473531824,-0.0635275551232464,NS
Methionine,0.175108922592976,0.548265415449437,0.974781173537472,-0.0368497070866857,NS
Aspartic acid,0.280274121364385,0.644630479138085,0.948051203737893,-0.0769631144728776,NS
Proline,0.262747423875486,0.644630479138085,1.01331562973644,0.0190836179004492,NS
Histidine,0.32050664705936,0.670150262033207,0.96760429653178,-0.0475109194395844,NS
Cystine,0.643157685354454,0.896053438136974,0.971166566920198,-0.0422093382120773,NS
Glutamine,0.593118754224947,0.896053438136974,0.979577966899749,-0.02976777035455,NS
Homoserine/Threonine,0.779176902727804,0.896053438136974,0.993942722688883,-0.00876537798269622,NS
Isoleucine/Leucine,0.687889005334033,0.896053438136974,1.01779036555779,0.0254404398864063,NS
Lysine,0.528109587179352,0.896053438136974,0.976061104960038,-0.0349566263375969,NS
Phenyl alanine,0.644730376744106,0.896053438136974,0.981481012507866,-0.0269677369521157,NS
Tryptophan,0.726068564961982,0.896053438136974,1.01309848266917,0.0187744244375954,NS
Tyrosine,0.774124051129342,0.896053438136974,0.993565656969374,-0.00931278785097062,NS
Valine,0.661023874653879,0.896053438136974,0.988207832590674,-0.0171136041748586,NS
Asparagine,0.839528484093281,0.919483577816451,1.00367580527216,0.00529334333691733,NS
Serine,0.895697384487518,0.936410901964224,0.997974356447014,-0.00292534976774655,NS
Betaine,0.964554681837287,0.964554681837287,1.00148930939983,0.00214702089284158,NS
