ID,pval,fdr,linear_fc,log2_fc,direction
Alanine,0.000463615504122465,0.00850328971964625,0.885714718990124,-0.175086000817245,down
Glycine,0.00121718647066807,0.00850328971964625,0.853918259142107,-0.227830119625198,down
Tryptophan,0.00115406559209708,0.00850328971964625,1.13357713665882,0.180882565660757,up
Valine,0.00147883299472109,0.00850328971964625,1.10479922567542,0.143784213562124,up
Isoleucine/Leucine,0.00185846648742198,0.00854894584214112,1.1188893696316,0.16206739665914,up
Citrulline,0.00602194197411552,0.020136395724987,0.934854736694924,-0.0971858870327371,down
Histidine,0.00787945919673404,0.020136395724987,1.06711886948467,0.0937208911240768,up
Homoserine/Threonine,0.00783717293610428,0.020136395724987,1.06514091879409,0.0910443125133374,up
Tyrosine,0.00729236150133363,0.020136395724987,1.07990439790468,0.110903598709338,up
Phenyl alanine,0.00977515763177393,0.02248286255308,1.09034082653911,0.124779173441515,up
Asparagine,0.0119061808056318,0.0248947416845029,0.932961469522929,-0.100110594599224,down
Methionine,0.0171663137174863,0.0329021012918487,0.922243274214417,-0.116780732293252,down
Glutamine,0.0194293434800417,0.034374992310843,1.08769580677948,0.121275138010889,up
Lysine,0.0270082434962361,0.0443706857438165,1.07813193226852,0.10853373317679,up
Cystine,0.05947634211883,0.0911970579155393,0.91713369592539,-0.124796035670015,down
Arginine,0.0782793342896034,0.112526543041305,0.952265184649328,-0.0705647069597382,down
Glutamic acid,0.309029714953664,0.418099026113781,1.03486365313356,0.0494407001826677,NS
Betaine,0.36612806714224,0.467830308015085,1.0444865019084,0.0627938483115383,NS
Glutaric acid,0.413438493238747,0.500478176025852,1.04574007041152,0.0645242992623087,NS
Aspartic acid,0.518072042075885,0.595782848387268,1.03021177486218,0.042940934630442,NS
Ornithine,0.56758386990685,0.621639476564645,0.982363826139585,-0.0256706579678321,NS
Serine,0.704334783167146,0.736350000583834,1.00756154875701,0.0108679711346988,NS
Proline,0.893648594896494,0.893648594896494,0.997453644815788,-0.00367829911463398,NS
