ID,pval,fdr,linear_fc,log2_fc,direction
Glutamine,0.00930434767721069,0.106999998287923,0.925244628232954,-0.112093240308016,down
Lysine,0.00757310461786469,0.106999998287923,0.918007818607355,-0.123421653864813,down
Arginine,0.0148886950155038,0.114146661785529,0.915259678777798,-0.12774696992389,down
Proline,0.0473323032415835,0.272160743639105,1.03347745740135,0.0475069205002002,NS
Citrulline,0.124445142961995,0.362948603897853,0.958247118390841,-0.0615303402800336,NS
Histidine,0.107385477463017,0.362948603897853,0.95478364443606,-0.0667542418035423,NS
Phenyl alanine,0.126242992660123,0.362948603897853,0.963219931776939,-0.0540628489917538,NS
Tyrosine,0.123014999103348,0.362948603897853,1.05456697602482,0.0766507242548178,NS
Glutaric acid,0.17812082295133,0.4551976586534,1.08522633273777,0.117995959781142,NS
Betaine,0.226771928829353,0.477344727695738,1.06419427326005,0.0897615450913639,NS
Methionine,0.228295304550135,0.477344727695738,1.0196504369192,0.0280746430211181,NS
Ornithine,0.29333391916991,0.56222334507566,0.973774254748739,-0.0383407366476611,NS
Alanine,0.425756775156935,0.574685864231268,0.964328945862441,-0.0524027413633193,NS
Asparagine,0.449754154615775,0.574685864231268,0.978019859149574,-0.0320643348164765,NS
Cystine,0.353621141657455,0.574685864231268,0.93556257677281,-0.0960939409611243,NS
Glutamic acid,0.332347791018781,0.574685864231268,0.958325812394839,-0.0614118668866606,NS
Serine,0.44409144567685,0.574685864231268,0.985058004223793,-0.0217194160623203,NS
Tryptophan,0.420786416634358,0.574685864231268,0.968557035949012,-0.0460910867837174,NS
Homoserine/Threonine,0.577050072841427,0.667652740367616,0.988644037922759,-0.0164769239167087,NS
Isoleucine/Leucine,0.580567600319666,0.667652740367616,0.983553885252628,-0.0239240003325532,NS
Glycine,0.665594644433895,0.728984610570457,0.978391805071985,-0.0315157748645827,NS
Aspartic acid,0.799403754076335,0.835740288352532,0.98768171757372,-0.0178818895719558,NS
Valine,0.912544237704659,0.912544237704659,1.00193413308715,0.00278766921979401,NS
