feature,sample,value
Alanine,Liver_QC_3,-3.73930574253945
Alanine,Liver_QC_4,-3.32243971799799
Alanine,Liver_QC_5,-3.30473464951562
Arginine,Liver_QC_3,-0.147400055743872
Arginine,Liver_QC_4,-0.2232869452708
Arginine,Liver_QC_5,-0.21100979625523
Asparagine,Liver_QC_3,-5.94640506702678
Asparagine,Liver_QC_4,-5.25827287089311
Asparagine,Liver_QC_5,-5.22602185742858
Aspartic acid,Liver_QC_3,-4.38771145262972
Aspartic acid,Liver_QC_4,-3.9166535982747
Aspartic acid,Liver_QC_5,-3.87447439009886
Betaine,Liver_QC_3,-2.08205069016087
Betaine,Liver_QC_4,-2.15631949374058
Betaine,Liver_QC_5,-1.92638362273199
Citrulline,Liver_QC_3,-5.01068608189136
Citrulline,Liver_QC_4,-4.68274940452792
Citrulline,Liver_QC_5,-4.81724065363484
Cystine,Liver_QC_3,-8.7720435799811
Cystine,Liver_QC_4,-8.7147910655667
Cystine,Liver_QC_5,-8.54239351738509
Glutamic acid,Liver_QC_3,-1.09529973090755
Glutamic acid,Liver_QC_4,-0.673586476727157
Glutamic acid,Liver_QC_5,-0.713186236136563
Glutamine,Liver_QC_3,0.157846028119365
Glutamine,Liver_QC_4,0.488873865938007
Glutamine,Liver_QC_5,0.590887208985015
Glutaric acid,Liver_QC_3,-11.4628014359954
Glutaric acid,Liver_QC_4,-11.3819487843322
Glutaric acid,Liver_QC_5,-11.2265253663945
Glycine,Liver_QC_3,-5.25358391570078
Glycine,Liver_QC_4,-5.10928720506077
Glycine,Liver_QC_5,-4.9351876066667
Histidine,Liver_QC_3,-1.53229824358657
Histidine,Liver_QC_4,-1.4511155153691
Histidine,Liver_QC_5,-1.4545687080726
Homoserine/Threonine,Liver_QC_3,-2.78240850819224
Homoserine/Threonine,Liver_QC_4,-2.63928586426557
Homoserine/Threonine,Liver_QC_5,-2.61306328658956
Isoleucine/Leucine,Liver_QC_3,1.12052140005727
Isoleucine/Leucine,Liver_QC_4,1.12886540979762
Isoleucine/Leucine,Liver_QC_5,1.1809693371634
Lysine,Liver_QC_3,1.09375420651205
Lysine,Liver_QC_4,1.20769097857943
Lysine,Liver_QC_5,1.25302028116019
Methionine,Liver_QC_3,-6.55154099585278
Methionine,Liver_QC_4,-6.52344004417118
Methionine,Liver_QC_5,-6.5128098671184
Ornithine,Liver_QC_3,-4.13481156141995
Ornithine,Liver_QC_4,-3.77388523081409
Ornithine,Liver_QC_5,-3.97022689027856
Phenyl alanine,Liver_QC_3,-0.727239873009418
Phenyl alanine,Liver_QC_4,-0.553696822859168
Phenyl alanine,Liver_QC_5,-0.535894259635726
Proline,Liver_QC_3,-0.625868854661086
Proline,Liver_QC_4,-0.46589476114018
Proline,Liver_QC_5,-0.368178895517097
Serine,Liver_QC_3,-3.34446311805964
Serine,Liver_QC_4,-3.03577046044744
Serine,Liver_QC_5,-2.93785920435186
Tryptophan,Liver_QC_3,-3.15535871822181
Tryptophan,Liver_QC_4,-2.99506261239684
Tryptophan,Liver_QC_5,-2.61384512919961
Tyrosine,Liver_QC_3,-7.3453928586898
Tyrosine,Liver_QC_4,-7.31851694652467
Tyrosine,Liver_QC_5,-7.25914116771019
Valine,Liver_QC_3,-5.42386293092332
Valine,Liver_QC_4,-5.2152645701656
Valine,Liver_QC_5,-5.26719228489223
