ID,pval,fdr,linear_fc,log2_fc,direction
Citrulline,2.70051219334859e-07,6.21117804470175e-06,0.526452480578425,-0.925624780403344,down
Glycine,7.47263747100587e-06,8.59353309165675e-05,0.441635417917928,-1.17907221804852,down
Alanine,3.20643092967792e-05,0.000245826371275307,0.462484559802703,-1.11252289329712,down
Arginine,4.37082088726875e-05,0.000251322201017953,0.532308613883685,-0.909665182565867,down
Cystine,0.00219684999881268,0.0101055099945383,0.511006354741969,-0.968586862633037,down
Methionine,0.00282051904966099,0.0108119896903671,0.519689529898156,-0.944278101335016,down
Lysine,0.00368628810023727,0.0121120894722082,0.81819341503309,-0.289486168682346,down
Asparagine,0.0116089924349072,0.0333758532503583,0.574895828395647,-0.798627532695257,down
Ornithine,0.0188066416925938,0.0446305337357053,0.674832287063204,-0.567399094481146,down
Serine,0.0194045798850893,0.0446305337357053,0.723602032660837,-0.466731634267084,down
Glutamine,0.0233968717244407,0.0489207317874669,0.86809266756078,-0.204079038514291,down
Phenyl alanine,0.0411274757745365,0.0788276619011949,0.853086123617999,-0.229236698191954,down
Proline,0.0521681708496676,0.0922975330417195,0.696876096251031,-0.52102592547155,down
Glutamic acid,0.063688929403348,0.104631812591215,0.84473573723882,-0.243428008170716,down
Histidine,0.140411061961043,0.2152969616736,0.851982915127627,-0.231103594609702,down
Betaine,0.171251280273865,0.246173715393681,0.772899785116782,-0.371646729751201,down
Isoleucine/Leucine,0.258665562200535,0.349959290036018,0.9081996203719,-0.138918661172563,NS
Aspartic acid,0.417039995088332,0.532884438168424,0.878876858299381,-0.186267055077435,NS
Homoserine/Threonine,0.467951480839917,0.566467582069374,0.91575385298273,-0.126968228882675,NS
Glutaric acid,0.967437812133353,0.988285989503289,0.990586400722426,-0.0136452798356785,NS
Tryptophan,0.8995245865605,0.988285989503289,0.991027948368711,-0.0130023508919654,NS
Tyrosine,0.988285989503289,0.988285989503289,1.00220104122105,0.00317194174629354,NS
Valine,0.969776069990755,0.988285989503289,1.00613388006392,0.00882228849652056,NS
