ID,pval,fdr,linear_fc,log2_fc,direction
Arginine,0.0147893060046137,0.113384679368705,0.744286277054027,-0.4260704587056,down
Glutamine,0.0123429987937955,0.113384679368705,0.812355871350958,-0.299816222944434,down
Lysine,0.0118138010064754,0.113384679368705,0.799699107870852,-0.322470816434867,down
Betaine,0.0587220010719515,0.337651506163721,1.46133680241962,0.547288722413716,NS
Glycine,0.0776652284992537,0.357260051096567,0.812790138604702,-0.299045196557302,NS
Histidine,0.0939480579018686,0.360134221957163,0.882318664597223,-0.180628290801434,NS
Glutamic acid,0.143454402796591,0.471350180617371,0.816868372901319,-0.29182446824394,NS
Citrulline,0.182220202332019,0.523883081704554,0.863126386874331,-0.212356267387652,NS
Alanine,0.278285778818524,0.536374982201493,0.830888785136485,-0.26727271039437,NS
Glutaric acid,0.303168468200844,0.536374982201493,1.25810517807436,0.331252537116537,NS
Isoleucine/Leucine,0.261528930475333,0.536374982201493,1.12167948591521,0.165660492221977,NS
Ornithine,0.298347478480741,0.536374982201493,0.879042380252856,-0.185995372855744,NS
Tyrosine,0.24226986311935,0.536374982201493,1.2425254032338,0.313275347759211,NS
Aspartic acid,0.377446953159063,0.620091423047033,0.883001664537222,-0.179511937401693,NS
Proline,0.437621252196641,0.671019253368183,1.16937958252557,0.225743307062175,NS
Cystine,0.472572620304622,0.679323141687893,0.755637025841258,-0.404234700084262,NS
Asparagine,0.507465972649322,0.686571610054965,0.882259902417266,-0.180724377093347,NS
Methionine,0.653845304355343,0.835469000009606,1.08956762614059,0.123755742915365,NS
Homoserine/Threonine,0.773493335876209,0.84715936786442,0.952634093456163,-0.0700059132020504,NS
Serine,0.759019306801614,0.84715936786442,0.964472906046258,-0.052187384204203,NS
Valine,0.756783074180824,0.84715936786442,1.05264998470764,0.0740258074273463,NS
Phenyl alanine,0.876693933563381,0.916543657816262,0.988724428957633,-0.0163596167487716,NS
Tryptophan,0.922399178739429,0.922399178739429,1.01219048607734,0.0174808191416043,NS
