"","RDDam","RDDam","RDDam","RDDam","RDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","HFDDam","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMRD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","MaleMHFD","FemMRD","FemMRD","FemMRD","FemMRD","FemMRD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD","FemMHFD"
"Metabolite","RD_Dam_1","RD_Dam_2","RD_Dam_3","RD_Dam_4","RD_Dam_5","HFD_Dam_A1","HFD_Dam_A2","HFD_Dam_A3","HFD_Dam_A4","HFD_Dam_B1","HFD_Dam_B2","HFD_Dam_B3","HFD_Dam_B4","Male_MRD_A1","Male_MRD_A2","Male_MRD_A3","Male_MRD_B1","Male_MRD_B2","Male_MRD_B3","Male_MRD_B4","MAle_MHFD_A1","MAle_MHFD_A2","MAle_MHFD_A3","Male__MHFD_B1","Male_MHFD_B2","Male_MHFD_B3","Male_MHFD_B4","Female_MRD_A2","Female_MRD_A3","Female_MRD_B2","Female_MRD_B3","Female_MRD_B4","Female__MHFD_A1","Female__MHFD_A2","Female_MHFD_A3","Female__MHFD_B1","Female__MHFD_B2","Female__MHFD_B3","Female__MHFD_B4"
"Glutamic acid","1.51137207095694","1.10908284266948","1.21556931944841","1.70632597425448","0.816926257494479","0.289219804056244","1.57837688279692","1.62955740949736","0.489977954160738","0.634929576076366","0.966520163046839","0.108226977082668","0.0222295400064092","0.497935189305149","0.5094117246901","-0.502734196579329","-0.126600230268602","0.19380586173734","-0.377174992433951","-0.337345210398231","0.894215968690319","0.536224501824025","-1.04049775526769","-1.29703575785536","-1.48884957771708","-0.777190200480001","-1.6435322791267","-0.314832894573789","-0.150241463410408","-0.903668956264559","0.813290966670146","-1.00774607522937","-0.23717111266369","-0.946321528825873","-1.02294525794296","0.763865653937871","-0.61791426152304","-1.25868257345335","-2.23658031438832"
"Alanine","2.39510138335692","1.15667805325233","1.78600725246403","1.69997494578464","2.05138244975522","0.031868932404101","-1.0648242872321","0.0502954903316668","-0.185866030498698","-0.737615145787732","-1.07851619412988","-0.757242923819552","0.949570404504177","-0.463445533677978","1.46412469924022","-0.65743214195319","-0.228601497322746","0.721328420316479","-0.422765005069144","0.323064858543812","0.871196651817323","0.698808131199904","-1.58640197662538","-0.625955415057776","-1.08742699294472","-0.140304996586592","-1.03762647427036","-0.575105310374147","-0.649901175982509","-0.46603392353864","0.460522458236552","-0.420037694800015","0.0950886075824296","-0.544021324034463","-1.06864143190185","1.06641372305465","0.0588468243313185","-1.25034048104034","-0.832167329527974"
"Tyrosine","1.46880900679758","0.0500262462203047","1.24232348580938","0.901499493908278","0.90667217135002","0.640456932470089","0.966483493840641","2.27864201495842","1.58440422937139","0.0117486053026506","-0.16778670628271","0.685706391465843","1.35634284315426","-0.0886713197723151","-0.458368567273363","-0.332810277356236","-1.89648381705447","-0.436225911400954","-0.276083595354989","0.232131307952709","1.17568949700387","-0.185346799772203","-0.171471134157093","-1.59533435128293","-0.193750475034817","1.29780897934265","0.310722162116627","-1.17019245903464","-1.43912390125319","-1.28180268931099","-0.378694714982893","-0.700872211861269","-0.80595270658529","-0.637919247004662","-1.72591000525353","-0.683800494424959","-0.189431628965345","-0.825639965151987","0.532206117506125"
"Homoserine/Threonine","1.41679434536361","0.549981884973665","1.55277695516792","1.2123511113039","0.836474879108766","0.915922281470625","0.179877849409693","1.82831733232594","1.38504651677145","-0.461873973612195","0.336201284324925","0.529662094572978","2.04541222070794","-0.477583424127025","-0.294581362388138","-0.646542156773506","-1.29560957626577","-0.333949093845459","-1.03427849635278","0.180806637196066","1.06202581288153","-0.0173000772865771","-1.91741868935372","-1.81858402780451","-1.99572410126265","0.267627154759089","-0.520025844710357","-0.295648659996573","-0.622981311809511","-0.690428265794762","-1.00974317779662","0.191653160345519","-0.293654305646078","-0.421261710436192","-0.809728582291235","-0.308569114407307","0.60387969670689","-0.515484343544596","0.686159078115029"
"Ornithine","2.08319671949062","0.74709840627402","1.73303125949473","2.04289674691321","1.11154208534613","0.497007385807112","1.22483710527568","2.09908860601178","-0.34789871242018","-1.00288005313312","0.360313183165455","0.262699865815577","-0.261092491307661","-0.328663964198148","-1.14576863319783","-1.20159944405818","-0.216783833713298","-0.0887714790315116","-0.409593090669159","0.66149365983678","0.0634113024855433","-0.967012836388243","-1.42512469322935","-1.32950205037376","-1.48201514865677","0.166256911112818","-0.485255815900986","-0.474846318806885","-0.669983240615282","-0.104598845628739","-0.65479697882598","0.403001329515594","-1.14986965627546","0.257495311244201","-1.07225023940956","-0.165875811075757","1.37451671070512","-0.636507546607947","0.532804295029422"
"Serine","1.06073497979682","0.456138742640092","2.44228091560552","2.35155568283763","1.56605136751444","0.464489614767234","0.217358495047568","0.835100701134783","0.274477496600768","-0.891194313839688","-0.719553124481357","0.145526415343007","1.4137917375375","-0.873530018005072","-0.499094317513385","-1.47751920758063","-0.662029937418613","-0.0902827014896294","-0.750689792571958","1.08923374819397","1.1966997597281","-0.681810204236869","-1.56121231892098","-1.41013886749275","-1.33587558851828","0.158855904186188","-0.693224668906263","-0.417019017873122","-0.441134921719898","-0.608038042096725","-0.590981936870189","-0.199113215838071","-0.149676090628613","0.648159278512663","-0.912381832377434","0.697403531328088","0.967686323122158","-0.487242629907728","-0.533801945609286"
"Asparagine","1.02083767926492","0.410906296893225","2.04978521092993","2.45738010407379","1.7357876886579","0.275777780352522","-0.163921075770108","0.991534998375666","0.64658912859301","-1.18125110806038","-0.819481701224305","-0.904744401632868","1.21712202944174","0.262164526794995","0.0949615782340796","-1.01180951638111","-0.651689233886163","-0.0238034306885408","-0.148214676896421","1.03700336045696","1.35026520911987","-0.790206637825607","-1.15312472202131","-2.275263394865","-0.267695054609917","0.34672872176225","-0.0713189814431116","-0.536167628325587","-0.866019428571048","-1.01306154242903","-0.84679044756887","-0.247123147599502","-0.454517984568151","0.905592018272465","-1.02916022790911","0.0647273138721482","0.411819698337585","-0.885525140236156","0.0619061390792405"
"Methionine","2.49839240629685","0.784338086315295","1.5427880699509","1.51376019997407","0.985434339635685","0.260815532404399","-1.21772957529296","0.674435559499616","0.58177431483924","-1.97546557448636","-1.29296835343377","-0.882862269442737","0.779756315681567","-0.352606493930259","-0.436861767527063","-0.761870618232025","-1.48424691217346","0.125688189334428","-0.591618926420242","0.64405685298193","1.41965734125339","0.280701680544438","-1.41484141117422","-1.37685130142005","-1.40531945357745","0.9138600171778","0.421599941179999","0.014011350746771","-0.553408954588679","-0.0945819309330395","-0.433243765638518","0.784276950201055","-0.0414964783932588","0.412689978147334","-0.732979127005482","-0.439807889600941","0.752650050044312","-0.560561944271753","0.658635571333183"
"Aspartic acid","0.180581551081709","1.12693734730393","1.56015609174374","2.47074347597785","-0.0564471600744524","0.367865686706992","1.1249490203283","2.14701513690681","0.985276739401781","-0.405847053454214","0.479632146175993","-0.067873689188791","0.0710516306640205","0.00222678432454551","-0.593046617158467","-0.428123437202797","0.243224572926109","0.45329364964049","-0.666198288830576","-0.321929144569414","1.42024841433734","0.757025779245677","-1.38669611570176","-1.49850143562292","-1.25532643481208","-1.32947715646625","-1.17930644801437","-0.0269236039742909","0.183300892614587","-1.09713435176585","0.400598880277406","-1.24366477611636","0.0179452508016944","-0.432636657783519","-0.543798819907365","0.029816022878422","0.776807756426208","-0.317273194581018","-1.9484924445391"
